Code,Name,Room,Place,Year,Shape,Material,Description
0001,Monumental statue with two heads,1,"Jordan, Ain Ghazal",About 6500 BCE,height 88 cm,plaster,"This two-headed bust is one of the first monumental statues in human history. It was made in Jordan over 8000 years ago. It might represent a pair ot deities or common ancestors venerated by one of the first village communities in the Levant. Thirty-two similar statues have been found on the Ain Ghazal site, some embellished with painted patterns and accessories such as wigs. They were probably used in ritual ceremonies."
0002,Female figure: fertility symbol (from Syria),1,"Syria, Tell Halaf",6000-5100 BCE,height 5.6 cm,modelled and painted terracotta,"Female figure: fertility symbol (from Syria and Ecuador): one is over 7000 years old and comes from Mesopotamia in the north of modern-day Iraq, the other comes from Ecuador on the American continent and is 4000 years old. Despite their aesthetic differences, these female figures both have rounded shapes. This physical trait is found in most early figures created worldwide in the period when the first villages were appearing. They were probably intended to convey a symbolic message associated with fecundity and fertility."
0003,Female figure: fertility symbol (from Ecuador),1,"Valdivia culture, Ecuador",3000-2000 BCE,height 8.5 cm,modelled and painted terracotta,"Female figure: fertility symbol (from Syria and Ecuador): one is over 7000 years old and comes from Mesopotamia in the north of modern-day Iraq, the other comes from Ecuador on the American continent and is 4000 years old. Despite their aesthetic differences, these female figures both have rounded shapes. This physical trait is found in most early figures created worldwide in the period when the first villages were appearing. They were probably intended to convey a symbolic message associated with fecundity and fertility."
0004,Male figure wearing a turban,1,"Pakistan, Balochistan",2800-2700 BCE,,modelled terracotta,
0005,Female figure wearing a necklace,1,"Pakistan, Balochistan",2800-2700 BCE,height 10 cm,modelled terracotta,"This small terracotta statuette with pronounced feminine contours most likely symbolises fertility. She wears a kind of mask in the shape of a bird on her head, which suggests she is from the world of the gods or spirits. This type of figurine is typical of the Mehrgarh village culture that flourished in the Indus Valley (now Pakistan) from the 6th to the 2nd millennium BCE."
0006,Female figure from Egypt,1,"Egypt, Hierakonpolis",3100-2800 BCE,,bone,
0007,Woman dressed in a woolen garment: protective deity,1,"Oxus Civilisation, Central Asia, Bactria",2300-1700 BCE,,"chlorite, calcite",
0008,Plank idol with two heads,1,Cyprus,2300-1900 BCE,,polished and incised terracotta,
0009,Female figure from Greece,1,"Greece, Syros, Chalandriani",2700-2300 BCE,,marble,
0010,Cooking jar with corded pattern decoration,1,"Jomon culture, Japan, North Kanto",3500-2500 BCE,height 54.5 cm,terracotta,"This vase is characteristic of a type of pottery that was developed in Japan during the Neolithic period. At the time of its creation, the potter's wheel had not yet been invented so the craftsmen fashioned the vase by stacking clay rings. After smoothing its surface, they decorated it by pressing the clay with cords, bamboo and shells. The stylised motifs that adorn the opening of the vase suggest natural elements such as water and fire and belong to the vast decorative repertoire of the Jomon potters."
0011,Funerary jar with plan motifs,1,"Mundigak culture, Afghanistan",About 2800 BCE,,painted terracotta,
0012,Funerary jar with geometric motifs,1,Yangshao culture,3000-2000 BCE,,painted terracotta,
0013,Bowl with geometric and animal motifs,1,"Iran, Susa",4200-3800 BCE,,painted terracotta,
0014,Vase with geometric and animal motifs,1,"Iran, Susa",4200-3800 BCE,,painted terracotta,
0015,Vase with geometric motifs imported from Mesopotamia,1,"UAE, Abu Dhabi, Marawah Island",About 6500 BCE,height 20 cm,painted terracotta,"This is the oldest vase to have been discovered to date in the United Arab Emirates. Its painted decoration is typical of the Mesopotamian ceramics that were produced in southern Iraq from 6500 BCE. Thus its presence on the shores of the Emirates indicates that it was an imported item. As such, it also attests the early development of marine traffic in the Gulf, over 7000 years ago."
0016,Jar decorated with gazelles and a boat,1,Egypt,3600-3300 BCE,,painted terracotta,
0017,Black-topped red ware jar,1,Egypt,3600-3300 BCE,,terracotta,
0018,Blade in the shape of a laurel leaf,1,"France, Dordogne",22000-18000 BCE,length 18.5 cm,flint,"The regular and perfectly symmetrical shape of this blade, which is known as a ""laurel-leaf"", shows a highly-developed level of skill. The craftsman has produced it in several stages with great dexterity. This blade, with its razor-sharp edge, has been struck from a block of flint using a variety of implements. However, it is too delicate to be used without shattering and probably never saw service. This object may have had a symbolic purpose to boast the great skill of the person who produced it."
0019,Polished axes: status symbols,1,France,4000-3000 BCE,,jadeite,
0020,Bi disc for ritual use,1,China,2300-1500 BCE,,jade,"It comes from China, dates from around 2000 BCE. It was carved from jade, a symbol of immortality, and was thought to protect the corpse of the deceased. This object and the object code 0021 are from the Neolithic period, during which human communities experienced profound changes as they became more hierarchical and many signs of social differentiation appeared."
0021,Disc ring: status symbol,1,"France, Volnay",About 4000 BCE,,jadeite,"It is a pierced disc discovered in France, dates from around 4000 BCE. We do not know exactly what purpose it served, but the craftsmanship and precious material suggest that this object was an indicator of social prestige."
0022,Smoothed and retouched knife blade,1,Egypt,3200-3000 BCE,,flint,
0023,Fish-shaped cosmetics palette,1,Egypt,3600-3200 BCE,,sandstone,
0024,Bulla and tokens used for trading,2,"Iran, Susa",3100-2800 BCE,,clay,
0025,Inscribed funerary stele,2,"Egypt, Abydos",3200-2780 BCE,,limestone,
0026,Oracular bone inscribed with Chinese character,2,"Shang dynasty, China",1250-1100 BCE,,bone,
0027,Tablet with cuneiform inscription,2,Iraq,About 2500 BCE,,terracotta,
0028,Funerary stele of the goldsmith Maa,2,Egypt,1550-1425 BCE,,painted limestone,
0029,Male figure praying,2,"Sumeran civilization, Iraq or Syria",2400-2300 BCE,,gypsum,
0030,"Stele for Nazi Maruttash, king of Babylon",2,"Reign of Marduk-apla-iddina, Iran, Susa",1171-1159 BCE,,limestone,
0031,Setau holding the cobra goddess Nekhbet,2,Egypt,1391-1353 BCE,,limestone,
0032,Musical ritual for the Theban triad,2,Egypt,1550-1069 BCE,,diorite,
0033,"Sistrum, a musical instrumen",2,Egypt,664-332 BCE,,faience,
0034,Seal of a merchant from Dilmum,2,"Umm an Nar culture, UAE, Abu Dhabi, Sir Bani Yas",1900-1800 BCE,,steatite,
0035,Bottle with geometric decoration imported from the Undus Valley,2,"Umm an Nar culture, UAE, Abu Dhabi, Hili",2500-2000 BCE,,painted terracotta,
0036,Bottle imported from south-west Pakistan,2,"Umm an Nar culture, UAE, Abu Dhabi, Hili",2500-2000 BCE,,painted terracotta,
0037,Bottle with geometric decoration,2,"Umm an Nar culture, UAE, Abu Dhabi, Hili",2500-2000 BCE,,painted terracotta,
0038,Necklace imported from the Indus Valley ,2,"Umm an Nar culture, UAE, Abu Dhabi, Hili",2500-2000 BCE,,carnelian,
0039,Vase with date-palm motifs,2,"Iraq, Mesopotamia, Uruk",2300-2200 BCE,,chlorite,
0040,Bead Necklaces,2,"Umm an Nar culture, UAE, Abu Dhabi, Ajman",3000 BCE,,chalk,
0041,Necklace,2,"Iran, Susa",2340-2100 BCE,,"gold, semiprecious stones",
0042,Compartmentalised box decorated with dotted circles,2,"Umm an Nar culture, UAE, Abu Dhabi, Hili",2500-2000 BCE,"height 8 cm, length 11 cm",soft stone,"The object code 0042 and the objact code 0043 were discovered in Al Ain, to the east of the Emirate of Abu Dhabi. They had been placed as offerings in collective tombs dating from the Umm an-Nar period (2400-2000 BCE). Their material (chlorite) and their ornamental motifs (dotted circles) are characteristic of a class of vessel produced in the region during that period. They were used locally, but also exported extensively all along the Gulf coasts and even to southern Mesopotamia."
0043,Cup decorated with dotted circles,2,"Umm an Nar culture, UAE, Abu Dhabi, Hili",2500-2000 BCE,"height 9 cm, length 7.8 cm",chlorite,"The object code 0042 and the objact code 0043 were discovered in Al Ain, to the east of the Emirate of Abu Dhabi. They had been placed as offerings in collective tombs dating from the Umm an-Nar period (2400-2000 BCE). Their material (chlorite) and their ornamental motifs (dotted circles) are characteristic of a class of vessel produced in the region during that period. They were used locally, but also exported extensively all along the Gulf coasts and even to southern Mesopotamia."
0044,Bowl decorated with dotted circles,2,"Umm an Nar culture, UAE, Abu Dhabi, Hili",2500-2000 BCE,,steatite,
0045,Model funerary boat and crew,2,"Egypt civilization, Egypt",1991-1785 BCE,length 107 cm,wood lined with stucco and painted,"This funerary boat is a small-scale model of the vessels used in ancient Egypt to sail up and down the Nile, which was the country's main transport route. This type of model boat was placed in the tombs of the Egyptian elite so that they might continue to travel by river in the afterlife. It would also allow them to cross the heavens and the underworld in the company of the gods, and provide them with safe passage to the land of the dead."
